province_id,year,code,score
1,2011,D1,4.876205
1,2011,D2,4.829181
1,2011,D3,5.007073
1,2011,D4,5.220708
1,2011,D5,6.448717
1,2011,D6,5.871421
2,2011,D1,5.309291
2,2011,D2,5.516291
2,2011,D3,4.798923
2,2011,D4,4.05398
2,2011,D5,6.588932
2,2011,D6,6.256076
3,2011,D1,5.601996
3,2011,D2,5.773088
3,2011,D3,5.725249
3,2011,D4,5.885087
3,2011,D5,7.197525
3,2011,D6,6.480335
4,2011,D1,5.228072
4,2011,D2,5.541674
4,2011,D3,5.371785
4,2011,D4,5.795823
4,2011,D5,6.725205
4,2011,D6,6.596823
5,2011,D1,5.545943
5,2011,D2,5.830779
5,2011,D3,5.573418
5,2011,D4,5.484072
5,2011,D5,6.450169
5,2011,D6,6.228536
6,2011,D1,5.157237
6,2011,D2,6.049838
6,2011,D3,5.696171
6,2011,D4,5.769361
6,2011,D5,7.089154
6,2011,D6,5.98294
7,2011,D1,5.286486
7,2011,D2,5.955234
7,2011,D3,5.535253
7,2011,D4,5.492052
7,2011,D5,6.962739
7,2011,D6,6.29495
8,2011,D1,6.004803
8,2011,D2,6.380309
8,2011,D3,5.864292
8,2011,D4,6.363323
8,2011,D5,6.75143
8,2011,D6,7.019526
9,2011,D1,5.627799
9,2011,D2,5.488588
9,2011,D3,5.444681
9,2011,D4,4.976701
9,2011,D5,6.843168
9,2011,D6,6.52241
10,2011,D1,5.671049
10,2011,D2,5.024613
10,2011,D3,5.86601
10,2011,D4,5.677862
10,2011,D5,6.902812
10,2011,D6,6.578358
11,2011,D1,4.83451
11,2011,D2,5.728653
11,2011,D3,5.462211
11,2011,D4,5.069239
11,2011,D5,6.708876
11,2011,D6,6.343846
12,2011,D1,5.166482
12,2011,D2,5.084737
12,2011,D3,5.198565
12,2011,D4,5.306615
12,2011,D5,6.675288
12,2011,D6,6.49568
13,2011,D1,6.642126
13,2011,D2,6.536399
13,2011,D3,5.843012
13,2011,D4,6.682519
13,2011,D5,6.684669
13,2011,D6,6.828486
14,2011,D1,6.149224
14,2011,D2,5.987236
